titulo;autor;ano_publicacao;DOI;tipo_publicacao;resumo;link_deacesso;;;;;;;;;;;;;;
Random forests; sound symbolism and Pokémon evolution;Alexander James Kilpatrick;eCollection 2023.;DOI: 10.1371/journal.pone.0279350;Review.;This study constructs machine learning algorithms that are trained to classify samples using sound symbolism, and then it reports on an experiment designed to measure their understanding against human participants. Random forests are trained using the names of Pokémon, which are fictional video game characters, and their evolutionary status. Pokémon undergo evolution when certain in-game conditions are met. Evolution changes the appearance, abilities, and names of Pokémon. In the first experiment, we train three random forests using the sounds that make up the names of Japanese, Chinese, and Korean Pokémon to classify Pokémon into pre-evolution and post-evolution categories. We then train a fourth random forest using the results of an elicitation experiment whereby Japanese participants named previously unseen Pokémon. In Experiment 2, we reproduce those random forests with name length as a feature and compare the performance of the random forests against humans in a classification experiment whereby Japanese participants classified the names elicited in Experiment 1 into pre-and post-evolution categories. Experiment 2 reveals an issue pertaining to overfitting in Experiment 1 which we resolve using a novel cross-validation method. The results show that the random forests are efficient learners of systematic sound-meaning correspondence patterns and can classify samples with greater accuracy than the human participants.;https://dx.plos.org/10.1371/journal.pone.0279350;;;;;;;;;;;;;
Pokémon Go and augmented virtual reality games: a cautionary commentary for parents and pediatricians;Maeve Serino;;DOI: 10.1097/MOP.0000000000000409;Review;Purpose of review: The recent release of Pokémon Go has ushered in a new set of challenges for parents and pediatricians, highlighting the importance of parents setting guidelines for video game use with their children. Within 1 week of its launch, the game attracted over 65 million users, many of whom are young children. Despite the potential benefits of the game described in our article, this location-based game format poses specific threats to the safety and physical wellbeing of children.;;;;;;;;;;;;;;;
Recent findings: Reports have discussed both the benefits and adverse effects of this extremely popular video game. Benefits include increased exercise; socialization; and outdoor activity. Negative effects include increased risk of injury; abduction; trespassing; violence; and cost.;;;;;;;;;;;;;;
Summary: Pediatricians play a key role in counseling parents and children about safety precautions and setting appropriate limits for impressionable youth. Parents and pediatricians should be aware of this new and remarkably popular game that appeals to a wide variety of individuals. To protect children from injury; predators; and inappropriate situations;" parents and pediatricians must regulate children's participation in this game and maintain vigilance for potentially dangerous circumstances.""";https://www.ovid.com/10.1097/MOP.0000000000000409;;;;;;;;;;;;;;;;
Pokemon inhibits Bim transcription to promote the proliferation; anti-anoikis; invasion; histological grade; and dukes stage of colorectal neoplasms;Yan Wang;;DOI: 10.1007/s00432-024-05904-1;;Purpose: This study aims to determine whether Pokemon regulates Bim activity in colorectal carcinoma (CRC) carcinogenesis.;;;;;;;;;;;
Methods: Clinical tissue samples were analyzed to detect the expression and clinicopathological significance of Pokemon and Bim in CRC. Proliferation; apoptosis; and invasion assays were conducted to identify the regulatory effect of Pokemon on Bim. The combined treatment effects of Pokemon knockdown and diamminedichloroplatinum (DDP) were also examined.;;;;;;;;;;;;;;;;;;
Results: Immunohistochemical analysis of 80 samples of colorectal epithelia (CRE); 80 cases of colorectal adenoma (CRA); and 160 of CRC samples revealed protein expression rates of 23.8%; 38.8%; and 70.6% for Pokemon; and 88.8%; 73.8%; and 31.9% for Bim; respectively. A significant negative correlation was observed between Pokemon and Bim expression across the CRE; CRA; and CRC lesion stages. In CRC; higher Pokemon and lower Bim expression correlated with higher histological grades; advanced Dukes stages; and increased cancer invasion. In both LoVo and HCT116 cells; overexpression of Pokemon significantly reduced Bim expression; leading to increased proliferation; resistance to anoikis; and cell invasion. Additionally; Pokemon overexpression significantly decreased DDP-induced Bim expression; reduction of anti-apoptosis and invasion; whereas Pokemon knockdown resulted in the opposite effects.
Conclusion: These findings suggest that Pokemon inhibits Bim transcription; thereby promoting CRC proliferation; resistance to apoptosis; invasion;" and advancing histological grade and Dukes staging. Pokemon knockdown enhances the therapeutic efficacy of DDP in the treatment of CRC.""";https://dx.doi.org/10.1007/s00432-024-05904-1;;;;;;;;;;;;;;;
Pokémon GO and Physical Activity in Asia: Multilevel Study;Ben D Ma;;DOI: 10.2196/jmir.9670;Review.;Background: Physical activity has long been considered as an important component of a healthy lifestyle. Although many efforts have been made to promote physical activity, there is no effective global intervention for physical activity promotion. Some researchers have suggested that Pokémon GO, a location-based augmented reality game, was associated with a short-term increase in players' physical activity on a global scale, but the details are far from clear.;;;;;;;;;;;;;;;
Objective: The objective of our study was to study the relationship between Pokémon GO use and players' physical activity and how the relationship varies across players with different physical activity levels.;;;;;;;;;;;;;;;;;;;;
Methods: We conducted a field study in Hong Kong to investigate if Pokémon GO use was associated with physical activity. Pokémon GO players were asked to report their demographics through a survey;;;;;;;;;;;;;;;;;;;;
Results: The average daily walking and running distances increased by 18.1% (0.96 km; approximately 1200 steps) in the 21 days after the participants installed Pokémon GO compared with the average distances over the 14 days before installation (P<.001). However; this association attenuated over time and was estimated to disappear 24 days after game installation. Multilevel models indicated that Pokémon GO had a stronger and more lasting association among the less physically active players compared with the physically active ones (P<.001). Playing Pokémon GO in green space had a significant positive relationship with daily walking and running distances (P=.03). Moreover; our results showed that whether Pokémon GO was played; the number of days played; weather (total rainfall; bright sunshine; mean air temperature; and mean wind speed); and demographics (age; gender; income; education; and body mass index) were associated with daily walking and running distances.;;;;;;;
Conclusions: Pokémon GO was associated with a short-term increase in the players' daily walking and running distances;;;;;;;;;;;;;;;;;;;;
